month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2025/06/01 04:00:00+00,Weekday,21,Blue Line,746087,35528,1
2025/06/01 04:00:00+00,Weekday,21,Orange Line,2413110,114910,2
2025/06/01 04:00:00+00,Weekday,21,Red Line,3049145,145197,3
2025/06/01 04:00:00+00,Weekday,21,Heavy Rail,6208342,295635,4
2025/06/01 04:00:00+00,Weekday,21,Green Line,1971646,93888,5
2025/06/01 04:00:00+00,Weekday,21,Mattapan Line,63673,3032,6
2025/06/01 04:00:00+00,Weekday,21,Light Rail,2035319,96920,7
2025/06/01 04:00:00+00,Weekday,21,Silver Line,676598,32219,8
2025/06/01 04:00:00+00,Weekday,21,Bus,5606075,266956,9
2025/06/01 04:00:00+00,Weekday,21,All Bus,6282673,299175,10
2025/06/01 04:00:00+00,Weekday,20,Commuter Rail,2038789,101939,11
2025/06/01 04:00:00+00,Weekday,20,Ferry,156021,7801,12
2025/06/01 04:00:00+00,Weekday,21,The RIDE,84693,4033,13
2025/06/01 04:00:00+00,Saturday,4,Blue Line,81135,20284,14
2025/06/01 04:00:00+00,Saturday,4,Orange Line,255747,63937,15
2025/06/01 04:00:00+00,Saturday,4,Red Line,372079,93020,16
2025/06/01 04:00:00+00,Saturday,4,Heavy Rail,708961,177240,17
2025/06/01 04:00:00+00,Saturday,4,Green Line,319591,79898,18
2025/06/01 04:00:00+00,Saturday,4,Mattapan Line,7055,1764,19
2025/06/01 04:00:00+00,Saturday,4,Light Rail,326646,81662,20
2025/06/01 04:00:00+00,Saturday,4,Silver Line,83647,20912,21
2025/06/01 04:00:00+00,Saturday,4,Bus,619146,154786,22
2025/06/01 04:00:00+00,Saturday,4,All Bus,702794,175698,23
2025/06/01 04:00:00+00,Saturday,4,Commuter Rail,135770,33942,24
2025/06/01 04:00:00+00,Saturday,4,Ferry,17205,4301,25
2025/06/01 04:00:00+00,Saturday,4,The RIDE,8620,2155,26
2025/06/01 04:00:00+00,Sunday,5,Blue Line,95297,19059,27
2025/06/01 04:00:00+00,Sunday,5,Orange Line,230205,46041,28
2025/06/01 04:00:00+00,Sunday,5,Red Line,373491,74698,29
2025/06/01 04:00:00+00,Sunday,5,Heavy Rail,698993,139799,30
2025/06/01 04:00:00+00,Sunday,5,Green Line,312079,62416,31
2025/06/01 04:00:00+00,Sunday,5,Mattapan Line,6979,1396,32
2025/06/01 04:00:00+00,Sunday,5,Light Rail,319058,63812,33
2025/06/01 04:00:00+00,Sunday,5,Silver Line,97924,19585,34
2025/06/01 04:00:00+00,Sunday,5,Bus,582634,116527,35
2025/06/01 04:00:00+00,Sunday,5,All Bus,680558,136112,36
2025/06/01 04:00:00+00,Sunday,5,Commuter Rail,162604,32521,37
2025/06/01 04:00:00+00,Sunday,5,Ferry,22789,4558,38
2025/06/01 04:00:00+00,Sunday,5,The RIDE,10025,2005,39
2025/06/01 04:00:00+00,Total,30,Blue Line,922520,30751,40
2025/06/01 04:00:00+00,Total,30,Orange Line,2899062,96635,41
2025/06/01 04:00:00+00,Total,30,Red Line,3794715,126490,42
2025/06/01 04:00:00+00,Total,30,Heavy Rail,7616296,253877,43
2025/06/01 04:00:00+00,Total,30,Green Line,2603316,86777,44
2025/06/01 04:00:00+00,Total,30,Mattapan Line,77707,2590,45
2025/06/01 04:00:00+00,Total,30,Light Rail,2681023,89367,46
2025/06/01 04:00:00+00,Total,30,Silver Line,858170,28606,47
2025/06/01 04:00:00+00,Total,30,Bus,6807856,226929,48
2025/06/01 04:00:00+00,Total,30,All Bus,7666026,255534,49
2025/06/01 04:00:00+00,Total,30,Commuter Rail,2424304,80810,50
2025/03/01 05:00:00+00,Total,31,Mattapan Line,21584,696,51
2025/03/01 05:00:00+00,Total,31,Light Rail,2898086,93487,52
2025/03/01 05:00:00+00,Total,31,Silver Line,801033,25840,53
2025/03/01 05:00:00+00,Total,31,Bus,7048038,227356,54
2025/03/01 05:00:00+00,Total,31,All Bus,7849071,253196,55
2025/03/01 05:00:00+00,Total,31,Commuter Rail,2430273,78396,56
2025/03/01 05:00:00+00,Total,31,Ferry,83125,2681,57
2025/03/01 05:00:00+00,Total,31,The RIDE,107192,3458,58
2025/02/01 05:00:00+00,Weekday,19,Blue Line,862629,45402,59
2025/02/01 05:00:00+00,Weekday,19,Orange Line,2296202,120853,60
2025/02/01 05:00:00+00,Weekday,19,Red Line,2600248,136855,61
2025/02/01 05:00:00+00,Weekday,19,Heavy Rail,5759078,303109,62
2025/02/01 05:00:00+00,Weekday,19,Green Line,1936391,101915,63
2025/02/01 05:00:00+00,Weekday,19,Mattapan Line,51196,2695,64
2025/02/01 05:00:00+00,Weekday,19,Light Rail,1987587,104610,65
2025/02/01 05:00:00+00,Weekday,19,Silver Line,576016,30317,66
2025/02/01 05:00:00+00,Weekday,19,Bus,5285894,278205,67
2025/02/01 05:00:00+00,Weekday,19,All Bus,5861910,308522,68
2025/02/01 05:00:00+00,Weekday,19,Commuter Rail,1861409,97969,69
2025/02/01 05:00:00+00,Weekday,19,Ferry,62403,3284,70
2025/02/01 05:00:00+00,Weekday,20,The RIDE,77200,3860,71
2025/02/01 05:00:00+00,Saturday,5,Blue Line,153278,30656,72
2025/02/01 05:00:00+00,Saturday,5,Orange Line,344411,68882,73
2025/02/01 05:00:00+00,Saturday,5,Red Line,400256,80051,74
2025/02/01 05:00:00+00,Saturday,5,Heavy Rail,897945,179589,75
2025/02/01 05:00:00+00,Saturday,5,Green Line,366244,73249,76
2025/02/01 05:00:00+00,Saturday,5,Mattapan Line,7261,1452,77
2025/02/01 05:00:00+00,Saturday,5,Light Rail,373505,74701,78
2025/02/01 05:00:00+00,Saturday,5,Silver Line,95056,19011,79
2025/02/01 05:00:00+00,Saturday,5,Bus,772617,154523,80
2025/02/01 05:00:00+00,Saturday,5,All Bus,867673,173535,81
2025/02/01 05:00:00+00,Saturday,4,Commuter Rail,125712,31428,82
2025/02/01 05:00:00+00,Saturday,4,Ferry,811,203,83
2025/02/01 05:00:00+00,Saturday,4,The RIDE,7768,1942,84
2025/02/01 05:00:00+00,Sunday,4,Blue Line,85628,21407,85
2025/02/01 05:00:00+00,Sunday,4,Orange Line,187799,46950,86
2025/02/01 05:00:00+00,Sunday,4,Red Line,225848,56462,87
2025/02/01 05:00:00+00,Sunday,4,Heavy Rail,499276,124819,88
2025/02/01 05:00:00+00,Sunday,4,Green Line,190096,47524,89
2025/02/01 05:00:00+00,Sunday,4,Mattapan Line,3703,926,90
2025/02/01 05:00:00+00,Sunday,4,Light Rail,193799,48450,91
2025/02/01 05:00:00+00,Sunday,4,Silver Line,64224,16056,92
2025/02/01 05:00:00+00,Sunday,4,Bus,407191,101798,93
2025/02/01 05:00:00+00,Sunday,4,All Bus,471415,117854,94
2025/02/01 05:00:00+00,Sunday,4,Commuter Rail,101325,25331,95
2025/02/01 05:00:00+00,Sunday,4,Ferry,442,110,96
2025/02/01 05:00:00+00,Sunday,4,The RIDE,5044,1261,97
2025/02/01 05:00:00+00,Total,28,Blue Line,1101535,39341,98
2025/02/01 05:00:00+00,Total,28,Orange Line,2828412,101015,99
2025/02/01 05:00:00+00,Total,28,Red Line,3226352,115227,100
2025/01/01 05:00:00+00,Total,31,Orange Line,2911130,93907,101
2025/01/01 05:00:00+00,Total,31,Red Line,3304267,106589,102
2025/01/01 05:00:00+00,Total,31,Heavy Rail,7395480,238564,103
2025/01/01 05:00:00+00,Total,31,Green Line,2669396,86110,104
2025/01/01 05:00:00+00,Total,31,Mattapan Line,69068,2228,105
2025/01/01 05:00:00+00,Total,31,Light Rail,2738464,88338,106
2025/01/01 05:00:00+00,Total,31,Silver Line,789928,25482,107
2025/01/01 05:00:00+00,Total,31,Bus,6831421,220368,108
2025/01/01 05:00:00+00,Total,31,All Bus,7621349,245850,109
2025/01/01 05:00:00+00,Total,31,Commuter Rail,2348137,75746,110
2025/01/01 05:00:00+00,Total,31,Ferry,72581,2341,111
2025/01/01 05:00:00+00,Total,31,The RIDE,98879,3190,112
2024/12/01 05:00:00+00,Weekday,21,Blue Line,905115,43101,113
2024/12/01 05:00:00+00,Weekday,21,Orange Line,2208993,105190,114
2024/12/01 05:00:00+00,Weekday,21,Red Line,2367621,112744,115
2024/12/01 05:00:00+00,Weekday,21,Heavy Rail,5481728,261035,116
2024/12/01 05:00:00+00,Weekday,21,Green Line,1670698,79557,117
2024/12/01 05:00:00+00,Weekday,21,Mattapan Line,50714,2415,118
2024/12/01 05:00:00+00,Weekday,21,Light Rail,1721413,81972,119
2024/12/01 05:00:00+00,Weekday,21,Silver Line,631039,30049,120
2024/12/01 05:00:00+00,Weekday,21,Bus,5253721,250177,121
2024/12/01 05:00:00+00,Weekday,21,All Bus,5884760,280227,122
2024/12/01 05:00:00+00,Weekday,21,Commuter Rail,1950999,92905,123
2024/12/01 05:00:00+00,Weekday,21,Ferry,67867,3232,124
2024/12/01 05:00:00+00,Weekday,22,The RIDE,81070,3685,125
2024/12/01 05:00:00+00,Saturday,4,Blue Line,127298,31824,126
2024/12/01 05:00:00+00,Saturday,4,Orange Line,292675,73169,127
2024/12/01 05:00:00+00,Saturday,4,Red Line,302416,75604,128
2024/12/01 05:00:00+00,Saturday,4,Heavy Rail,722389,180597,129
2024/12/01 05:00:00+00,Saturday,4,Green Line,271463,67866,130
2024/12/01 05:00:00+00,Saturday,4,Mattapan Line,4091,1023,131
2024/12/01 05:00:00+00,Saturday,4,Light Rail,275553,68888,132
2024/12/01 05:00:00+00,Saturday,4,Silver Line,84608,21152,133
2024/12/01 05:00:00+00,Saturday,4,Bus,577773,144443,134
2024/12/01 05:00:00+00,Saturday,4,All Bus,662380,165595,135
2024/12/01 05:00:00+00,Saturday,4,Commuter Rail,124283,31071,136
2024/12/01 05:00:00+00,Saturday,4,Ferry,917,229,137
2024/12/01 05:00:00+00,Saturday,4,The RIDE,8036,2009,138
2024/12/01 05:00:00+00,Sunday,6,Blue Line,138830,23138,139
2024/12/01 05:00:00+00,Sunday,6,Orange Line,288516,48086,140
