stop_id,entries_mean,entries_total,n_observations
place-alfcl,4898.126865671642,1969047.0,402
place-andrw,2741.544776119403,1102101.0,402
place-aport,5594.2625,2237705.0,400
place-aqucl,3140.3855721393033,1262435.0,402
place-armnl,3576.863184079602,1437899.0,402
place-asmnl,3326.7316455696205,1314059.0,395
place-astao,2408.645885286783,965867.0,401
place-balsq,420.88130548302877,161197.54,383
place-bbsta,8242.380710659898,3247498.0,394
place-bmmnl,2288.849104859335,894940.0,391
place-bomnl,1367.5329949238578,538808.0,394
place-boyls,3701.6325,1480653.0,400
place-brdwy,3026.246786632391,1177210.0,389
place-brntn,1771.6173469387754,694474.0,392
place-ccmnl,2078.305970149254,835479.0,402
place-chmnl,5152.405472636816,2071267.0,402
place-chncl,3308.626865671642,1330068.0,402
place-cntsq,7188.082089552238,2889609.0,402
place-coecl,7956.162436548223,3134728.0,394
place-crtst,1705.0771144278608,685441.0,402
place-davis,3975.7462686567164,1598250.0,402
place-dwnxg,9129.07711442786,3669889.0,402
place-esomr,222.07595300261096,85055.09,383
place-fldcr,2077.3109452736317,835079.0,402
place-forhl,5697.907960199005,2290559.0,402
place-gilmn,810.6002597402597,312081.1,385
place-gover,4938.164179104478,1985142.0,402
place-grnst,1562.180904522613,621748.0,398
place-haecl,5677.792929292929,2248406.0,396
place-harsq,9455.26368159204,3801016.0,402
place-hymnl,4880.547263681592,1961980.0,402
place-jaksn,2470.2727272727275,978228.0,396
place-jfk,3657.389175257732,1419067.0,388
place-kencl,4410.403022670025,1750930.0,397
place-knncl,7308.880710659899,2879699.0,394
place-lech,708.6275376884422,282033.76,398
place-masta,2543.960199004975,1022672.0,402
place-matt,2324.588062015504,899615.58,387
place-mdftf,693.312088772846,265538.53,383
place-mgngl,372.17634920634924,140682.66,378
place-mlmnl,5022.828358208955,2019177.0,402
place-mvbcl,7344.980099502488,2952682.0,402
place-north,11225.528822055137,4478986.0,399
place-nqncy,2335.5510204081634,915536.0,392
place-ogmnl,3015.3333333333335,1185026.0,393
place-orhte,3021.102301790281,1181251.0,391
place-pktrm,7992.233830845771,3212878.0,402
place-portr,3664.783582089552,1473243.0,402
place-prmnl,2108.865336658354,845655.0,401
place-qamnl,1234.9772151898735,487816.0,395
place-qnctr,2594.5375,1037815.0,400
place-rbmnl,2151.7678571428573,843493.0,392
place-rcmnl,2371.71072319202,951056.0,401
place-river,905.020253164557,357483.0,395
place-rugg,4653.0475,1861219.0,400
place-sbmnl,1643.5012594458437,652470.0,397
place-sdmnl,485.6829896907216,188445.0,388
place-shmnl,1072.5597014925372,431169.0,402
place-smmnl,958.094527363184,385154.0,402
place-spmnl,725.805,290322.0,400
place-sstat,10135.429648241206,4033901.0,398
place-state,6396.9925,2558797.0,400
place-sull,3407.850374064838,1366548.0,401
place-symcl,947.907960199005,381059.0,402
place-tumnl,3123.7537313432836,1255749.0,402
place-unsqu,465.83502688172047,173290.63,372
place-welln,3289.439086294416,1296039.0,394
place-wimnl,1270.288944723618,505575.0,398
place-wlsta,1448.4812030075188,577944.0,399
place-wondl,3692.9846153846156,1440264.0,390
place-wtcst,978.4427860696518,393334.0,402
